question_type	question_text	required	page_number	option_text	option_values
instruction	欢迎参加本调查。请按<strong>下一步</strong>开始。	0	1		
instruction	请指出您目前有多频繁或多不频繁地体验到每种情况。	0	2		
radio	我为接下来1-2个月设定财务目标，明确我想用钱达成什么。	1	3	几乎总是: 1, 非常频繁: 2, 有时频繁: 3, 有时不频繁: 4, 非常不频繁: 5, 几乎从不: 6	1,2,3,4,5,6
radio	我会提前决定接下来1-2个月如何使用我的钱。	1	3	几乎总是: 1, 非常频繁: 2, 有时频繁: 3, 有时不频繁: 4, 非常不频繁: 5, 几乎从不: 6	1,2,3,4,5,6
radio	我积极考虑在接下来1-2个月中需要采取哪些措施来坚持我的预算。	1	3	几乎总是: 1, 非常频繁: 2, 有时频繁: 3, 有时不频繁: 4, 非常不频繁: 5, 几乎从不: 6	1,2,3,4,5,6
radio	我查看我的预算，了解在接下来1-2个月中还剩多少钱。	1	3	几乎总是: 1, 非常频繁: 2, 有时频繁: 3, 有时不频繁: 4, 非常不频繁: 5, 几乎从不: 6	1,2,3,4,5,6
radio	我喜欢查看接下来1-2个月的预算，以便更好地了解我未来的支出。	1	3	几乎总是: 1, 非常频繁: 2, 有时频繁: 3, 有时不频繁: 4, 非常不频繁: 5, 几乎从不: 6	1,2,3,4,5,6
radio	制定好接下来1-2个月的财务计划会让我感觉更好。	1	3	几乎总是: 1, 非常频繁: 2, 有时频繁: 3, 有时不频繁: 4, 非常不频繁: 5, 几乎从不: 6	1,2,3,4,5,6
radio	我为接下来1-2个月设定目标，明确我想在时间上达成什么。	1	4	几乎总是: 1, 非常频繁: 2, 有时频繁: 3, 有时不频繁: 4, 非常不频繁: 5, 几乎从不: 6	1,2,3,4,5,6
radio	我会提前决定接下来1-2个月如何安排我的时间。	1	4	几乎总是: 1, 非常频繁: 2, 有时频繁: 3, 有时不频繁: 4, 非常不频繁: 5, 几乎从不: 6	1,2,3,4,5,6
radio	我积极考虑在接下来1-2个月中需要采取哪些措施来坚持我的时间表。	1	4	几乎总是: 1, 非常频繁: 2, 有时频繁: 3, 有时不频繁: 4, 非常不频繁: 5, 几乎从不: 6	1,2,3,4,5,6
radio	我查看我的计划表，了解在接下来1-2个月中还剩多少时间。	1	4	几乎总是: 1, 非常频繁: 2, 有时频繁: 3, 有时不频繁: 4, 非常不频繁: 5, 几乎从不: 6	1,2,3,4,5,6
radio	我喜欢查看接下来1-2个月的计划表，以便更好地了解我未来的时间安排。	1	4	几乎总是: 1, 非常频繁: 2, 有时频繁: 3, 有时不频繁: 4, 非常不频繁: 5, 几乎从不: 6	1,2,3,4,5,6
radio	制定好接下来1-2个月的时间计划会让我感觉更好。	1	4	几乎总是: 1, 非常频繁: 2, 有时频繁: 3, 有时不频繁: 4, 非常不频繁: 5, 几乎从不: 6	1,2,3,4,5,6
radio	我为接下来几天设定目标，明确我想在时间上达成什么。	1	5	几乎总是: 1, 非常频繁: 2, 有时频繁: 3, 有时不频繁: 4, 非常不频繁: 5, 几乎从不: 6	1,2,3,4,5,6
radio	我会提前决定接下来几天如何安排我的时间。	1	5	几乎总是: 1, 非常频繁: 2, 有时频繁: 3, 有时不频繁: 4, 非常不频繁: 5, 几乎从不: 6	1,2,3,4,5,6
radio	我积极考虑在接下来几天中需要采取哪些措施来坚持我的时间表。 	1	5	几乎总是: 1, 非常频繁: 2, 有时频繁: 3, 有时不频繁: 4, 非常不频繁: 5, 几乎从不: 6	1,2,3,4,5,6
radio	我查看我的计划表，了解在接下来几天中还剩多少时间。	1	5	几乎总是: 1, 非常频繁: 2, 有时频繁: 3, 有时不频繁: 4, 非常不频繁: 5, 几乎从不: 6	1,2,3,4,5,6
radio	我喜欢查看接下来几天的计划表，以便更好地了解我未来的时间安排。	1	5	几乎总是: 1, 非常频繁: 2, 有时频繁: 3, 有时不频繁: 4, 非常不频繁: 5, 几乎从不: 6	1,2,3,4,5,6
radio	制定好接下来几天的时间计划会让我感觉更好。	1	5	几乎总是: 1, 非常频繁: 2, 有时频繁: 3, 有时不频繁: 4, 非常不频繁: 5, 几乎从不: 6	1,2,3,4,5,6
radio	我为接下来1-2个月设定目标，明确我想在时间上达成什么。	1	6	几乎总是: 1, 非常频繁: 2, 有时频繁: 3, 有时不频繁: 4, 非常不频繁: 5, 几乎从不: 6	1,2,3,4,5,6
radio	我会提前决定接下来1-2个月如何安排我的时间。	1	6	几乎总是: 1, 非常频繁: 2, 有时频繁: 3, 有时不频繁: 4, 非常不频繁: 5, 几乎从不: 6	1,2,3,4,5,6
radio	我积极考虑在接下来1-2个月中需要采取哪些措施来坚持我的时间表。	1	6	几乎总是: 1, 非常频繁: 2, 有时频繁: 3, 有时不频繁: 4, 非常不频繁: 5, 几乎从不: 6	1,2,3,4,5,6
radio	我查看我的计划表，了解在接下来1-2个月中还剩多少时间。	1	6	几乎总是: 1, 非常频繁: 2, 有时频繁: 3, 有时不频繁: 4, 非常不频繁: 5, 几乎从不: 6	1,2,3,4,5,6
radio	我喜欢查看接下来1-2个月的计划表，以便更好地了解我未来的时间安排。	1	6	几乎总是: 1, 非常频繁: 2, 有时频繁: 3, 有时不频繁: 4, 非常不频繁: 5, 几乎从不: 6	1,2,3,4,5,6
radio	制定好接下来1-2个月的时间计划会让我感觉更好。	1	6	几乎总是: 1, 非常频繁: 2, 有时频繁: 3, 有时不频繁: 4, 非常不频繁: 5, 几乎从不: 6	1,2,3,4,5,6
instruction	恭喜您完成了本调查！请按<strong>完成</strong>继续。	0	7		